questions:
1. 2 / 2 = ?
2. 1 / 0 = ?
3. 12 * 1 = ?
4. 9 * 12 = ?
5. 12 / 4 = ?
6. 11 / 11 = ?
7. 10 / 1 = ?
8. 0 / 7 = ?
9. 7 / 0 = ?
10. 3 / 3 = ?
11. 5 / 5 = ?
12. 0 * 11 = ?
13. 1 * 9 = ?
14. 7 / 7 = ?
15. 4 * 5 = ?
16. 3 / 1 = ?
17. 11 / 0 = ?
18. 10 / 2 = ?
19. 4 / 0 = ?
20. 8 * 12 = ?
21. 7 / 0 = ?
22. 3 * 10 = ?
23. 5 / 5 = ?
24. 8 * 6 = ?
25. 0 / 5 = ?
26. 1 / 1 = ?
27. 8 * 9 = ?
28. 7 * 4 = ?
29. 12 / 6 = ?
30. 2 * 2 = ?
31. 5 / 5 = ?
32. 3 / 3 = ?
33. 6 * 7 = ?
34. 0 * 0 = ?
35. 6 / 2 = ?
36. 2 / 0 = ?
37. 7 * 12 = ?
38. 6 / 0 = ?
39. 12 / 2 = ?
40. 4 * 10 = ?

answer key:
1. 1
2. undefined
3. 12
4. 108
5. 3
6. 1
7. 10
8. 0
9. undefined
10. 1
11. 1
12. 0
13. 9
14. 1
15. 20
16. 3
17. undefined
18. 5
19. undefined
20. 96
21. undefined
22. 30
23. 1
24. 48
25. 0
26. 1
27. 72
28. 28
29. 2
30. 4
31. 1
32. 1
33. 42
34. 0
35. 3
36. undefined
37. 84
38. undefined
39. 6
40. 40
